市町村,人口
大阪市,"2,751,753 "
堺市,"824,610 "
岸和田市,"188,341 "
豊中市,"401,531 "
池田市,"104,226 "
吹田市,"384,786 "
泉大津市,"74,272 "
高槻市,"347,685 "
貝塚市,"84,695 "
守口市,"142,060 "
枚方市,"397,395 "
茨木市,"283,928 "
八尾市,"265,157 "
泉佐野市,"99,521 "
富田林市,"108,894 "
寝屋川市,"228,506 "
河内長野市,"100,618 "
松原市,"117,395 "
大東市,"119,171 "
和泉市,"184,462 "
箕面市,"136,786 "
柏原市,"67,889 "
羽曳野市,"108,515 "
門真市,"118,544 "
摂津市,"86,212 "
高石市,"56,068 "
藤井寺市,"63,454 "
東大阪市,"491,951 "
泉南市,"59,851 "
四條畷市,"55,206 "
交野市,"76,132 "
大阪狭山市,"58,727 "
阪南市,"50,926 "
島本町,"31,210 "
豊能町,"18,128 "
能勢町,"9,013 "
忠岡町,"16,617 "
熊取町,"43,640 "
田尻町,"8,564 "
岬町,"14,711 "
太子町,"13,111 "
河南町,"15,582 "
千早赤阪村,"4,832 "
,
"注）人口密度に用いた面積は、国土交通省国土地理院｢令和２年全国都道府県市区町村別面積調（10月１日時点）」による。
(大阪府全域　1905.32k㎡）",
